TF	Gene	Variance_Explained	Rank	Count	Sign
Drap1	Dazap2	0.10290305631743135	3623.5	1	1
Arid5a	Emb	0.10255742795545553	3626.25	1	1
Klf13	Dazap2	0.10215046332160266	3623	1	1
E4f1	Slc38a1	0.09857670814502095	3625.75	1	1
Stat4	Tfg	0.09775332083259536	3621.5	1	1
Ahctf1	Psph	0.09664064699094421	3623.75	1	1
Atf2	Tfg	0.09611197453384696	3619.5	1	-1
Atf3	Gja1	0.095045851439372	4813	2	-1
Kdm2b	Golm1	0.09436520836858703	4806	2	-1
Kdm5b	Riok3	0.09402649894436216	3618	1	1
Sp100	Papss1	0.09256882734386479	3617	1	1
Hmga1_Hmga1-rs1	Dazap2	0.09208946454531386	3619.75	1	1
Arid5a	Gsn	0.09069586583670369	3619.25	1	1
Irf1	Armcx2	0.08959586527880448	3616.5	1	1
Bbx	Papss1	0.08948924754903659	3618.25	1	1
Bach1	Anapc1	0.08777320393935922	4810.5	2	1
Gata3	Gsn	0.0870256943178413	3615	1	1
Fosl1	Gsn	0.08570917120454025	3614	1	1
Hmga1_Hmga1-rs1	Dusp6	0.08507450819590612	4808.5	2	1
Terf1	Ube2v1	0.08422404289908048	3612	1	1
Fli1	Riok3	0.08382507111378257	3615.75	1	1
Atf6	Plod3	0.08299674122805606	3614.75	1	1
Mafg	Riok3	0.08205839899242262	3614.25	1	1
Fosl2	Dusp6	0.08101003836743925	4806	2	1
Klf3	Tfg	0.08031298986925905	3612.75	1	1
Egr2	Sh2d3c	0.0801121543821956	4806	2	1
Zbtb7a	Emb	0.07986173972850052	3611.25	1	-1
Bbx	Emb	0.07863269237609083	3610.25	1	1
Batf	Gsn	0.07811435739120737	4804.5	2	1
Lyl1_Tal2	Sh2d3c	0.07748799857009642	3608.75	1	1
Snapc2	Emb	0.07665254143962563	3608.25	1	1
Zfp202	Dazap2	0.07577188279417868	4800	2	1
Stat3	Ddr1	0.07576932119781549	4801	2	1
Lef1	Anapc1	0.07490953327698613	4804.5	2	1
Klf13	Papss1	0.074433799509461	4798.5	2	1
Rxra	Gja1	0.07373329652328137	3607.75	1	1
Cebpg	Golm1	0.07264291979793097	4800.5	2	1
Rela	Dusp6	0.07203110796791867	4804	2	1
Zfp202	Riok3	0.07102425260135475	4803	2	1
