TF	Gene	Variance_Explained	Rank	Count	Sign
Fli1	Gsn	0.16887395534974575	4849.5	2	1
Zbtb7a	Emb	0.16492998293821926	3643.25	1	-1
Klf7	Papss1	0.15163279668405882	3641.5	1	1
Sp4	Sh2d3c	0.14730476627495187	3640.5	1	1
Zfp35	Slc38a1	0.1472368611856677	3640	1	1
Nfatc1	Slc38a1	0.1455747320342008	3639.5	1	1
Egr1	Psph	0.14133869889828504	3638.5	1	1
Bbx	Dhrs1	0.13910019321614275	4845	2	1
Fos	Psph	0.13530965855632893	3638.75	1	1
Irf4	Ube2v1	0.1285069653285406	3638.25	1	-1
Atf5	Plod3	0.12751861775231205	3637.75	1	1
Zfp688	Gsn	0.12731085005574272	4843	2	1
Atf5	Dusp6	0.12443489044570022	3636.75	1	-1
Cic	Tfg	0.1244243811585048	3636.25	1	1
Bcl6	Psph	0.11966767653401844	3636	1	1
Batf	Dazap2	0.11610551798324742	3635.5	1	1
Bcl6	Gja1	0.11483183652418538	4842.5	2	0
Hif1a	Riok3	0.11082939437098582	3635.75	1	1
Cux1	Papss1	0.10906677665120373	3634.25	1	1
Atf6	Ube2v1	0.102172207666337	3634	1	1
Stat4	Armcx2	0.10091190754157425	3632.25	1	-1
Zeb2	Dusp6	0.09998033463988404	3633.5	1	1
Ankzf1	Papss1	0.09936299896681783	3633	1	-1
Runx1	Dazap2	0.09192889339528537	3631.25	1	1
Nfat5	Ube2v1	0.09185969895063523	3632.5	1	1
Rela	Dusp6	0.08872910159263658	3630.25	1	1
Nfe2l2	Tfg	0.0873583112242064	3632	1	1
Tbx21	Dazap2	0.08495643720900165	3631.5	1	1
Ahr	Dazap2	0.08314107892200623	3629.25	1	-1
Hbp1	Dusp6	0.08268893210458483	3628.75	1	1
Ets2	Sh2d3c	0.0821754549950327	4840	2	1
Cic	Gja1	0.08134964309372994	3628.25	1	1
Zeb1	Emb	0.07021661001058987	3630.5	1	1
Kdm2b	Golm1	0.06535857353441954	4833.5	2	0
Hsf1	Tfg	0.06395453652121363	3626.25	1	-1
Zhx1	Sh2d3c	0.061737671136913086	3625.75	1	1
Gata3	Aldh3a2	0.06070919936136138	3629.5	1	-1
Egr2	Gsn	0.054242577223233945	3629	1	1
Klf2	Slc38a1	0.0523875651789103	4836	2	0
Satb1	Gsn	0.05158111804819282	4835.5	2	1
Atf3	Plod3	0.0507064835729365	4835	2	0
Hmga1_Hmga1-rs1	Dusp6	0.047027165940938365	3624.75	1	1
Pou2f2	Spry1	0.03843406220061274	3626	1	1
Relb	Golm1	0.03431838946158555	3623.75	1	-1
Nfat5	Dusp6	0.027414490436126093	3623.5	1	-1
Zfp64	Golm1	0.02538068307324709	3623.25	1	1
Fosl1	Psph	0.01737536933929751	3621	1	1
Hmga1_Hmga1-rs1	Emb	0.015032325460227924	3619.5	1	-1
Elk3	Riok3	0.01165941059327208	3618	1	1
Zkscan1	Slc38a1	0.007792735712662868	3621.75	1	1
Cebpb	Psph	0.0006519909571841009	3617.5	1	1
Bhlhe40	Aldh3a2	0.00038689354699672496	3620.25	1	-1
