TF	Target	Confidence
Arid2	Idi1	0.9446061492296011
Ahctf1	BC094916	0.9445984797088859
Zfp52	Emp3	0.944069195002566
Rreb1	Cdadc1	0.9440058305315334
Klf6	Pde7a	0.9439894468947839
Creb3l2	Gemin6	0.943914906215646
Arid2	Slc39a8	0.9437910524435007
Nr4a1	Aste1	0.9437602174217583
Nr4a3	Rorc	0.9436655992713506
Cic	Lpxn	0.9435533293929808
Elk3	Timp1	0.9435009411135831
Hif1a	Trib3	0.9434753459887606
Hif1a	Nckap1	0.9434567970286841
Ahctf1	Trim24	0.94327793845835
Zbtb45	Slc23a2	0.9432501043085261
Nr4a3	Batf	0.9431177315036118
Batf	Crem	0.9426669464635136
Egr3	Slfn2	0.942630189631507
Dzip1	Prnp	0.9426096642373039
Cic	Il24	0.9425098669465346
Arid2	D1Ertd622e	0.9424599871882331
Nfic	Pdlim4	0.9422105216124476
Srebf2	Gnpda1	0.9420758432599791
Foxk2_Foxp1...	Tmem71	0.9420503221360871
Arid2	Il3	0.9420469593638967
Hbp1	Ddit3	0.9417825577411408
Ahctf1	Ypel5	0.9416979428398754
Rbpj	Pde6d	0.9416003136194798
Irf2	Atad2b	0.9413694612096397
Sox4	Gypc	0.9412875823371895
E2f1	Tyms-ps	0.9412812371182459
Zbtb20	Znrf1	0.9411419688862506
Skil	Pmepa1	0.941084968860624
Batf	Pstpip1	0.9408779552111056
Clock	Dazap2	0.9406910763976968
Batf	Cd47	0.940690647961629
Dzip1	Sptlc1	0.9406267342525075
Elk4	Rpp14	0.9405782295909387
Bach1	Chst15	0.9404549069394463
Arid2	Ehd4	0.9404535456568222
Creb3l2	Rhebl1	0.9404147994903631
Mxi1	Inpp5a	0.9403431495364748
Arid3a	Gyk	0.9402705262798331
Creb3l2	Qtrtd1	0.9398570684288001
Ahctf1	Asnsd1	0.9397719004946026
Zkscan1	E330009J07Rik	0.9397524428729819
Cic	Mbp	0.9397179259407686
Irf2	Ptp4a3	0.9395296926961436
Arid2	Piga	0.9395039389522555
Nfil3	Ada	0.939421904877596
Hif1a	Galk1	0.9393597089874256
Arid2	Tnfsf9	0.9393451311100055
Clock	Rbm15	0.9390568418013261
Nr4a2	Decr1	0.9388714969642906
Egr2	Cnn2	0.9387920665462193
Foxo3	Lgmn	0.9385651882346691
Skil	Aim1	0.938442898763179
Satb1	Ncf1	0.9384246825904816
Egr2	Rcan3	0.9383911877843943
Mxd4	Gfi1	0.9383905241639582
Crem	Clk3	0.9383141879381444
Fli1	Plagl1	0.9383127033581398
Myb	Endod1	0.9382675683272305
Arid3a	Tnfsf8	0.9382367079699993
Pknox1	Rasgrp2	0.9379992192892873
Arid3a	Crip1	0.9378740044381664
E4f1	Jak2	0.9378528179947003
Cic	Aqp3	0.9378478794014532
Cebpg	Snx19	0.9378284944170531
Hif1a	Egln1	0.9377138158183422
Rxra	Tpst1	0.9373585865889006
Arid2	Ahnak	0.9373388231178896
Hbp1	Dusp2	0.9372500489271164
Eea1	Dynll2	0.9372275454020053
Nfkb1	Ninj1	0.9371924824589405
Egr3	Hlcs	0.9371690897821411
E4f1	Sh3bp1	0.9371672519774077
Ahctf1	Tspan3	0.937120432576845
Mafg	Pten	0.9370331743432838
Egr3	Tmc6	0.9369086967121241
Arid2	Ankrd13c	0.9368016096578545
Cic	Gja1	0.9367550889107144
Hif1a	Socs1	0.9366800741563222
Irf9	Pim1	0.9364066424367381
Eea1	Cxcr6	0.9361670970080932
Foxo3	Rcan3	0.9359778061063317
Irf4	Cxcr6	0.9357908007706954
Ets1	Cnn2	0.9357615503424266
Egr2	Gdi1	0.93567959362614
Zfp260	Thap4	0.9355937755704843
Batf	Ehd4	0.9355614398556134
Jun	Tmtc4	0.9353974423804192
Nr1h2	Got1	0.9352785894065134
Irf9	Lpp	0.9352550234363806
Zfp281	Ggta1	0.9352104513191638
Zfp275	Akap12	0.9352090597878672
Bach1	Ms4a6c	0.9351951054812434
Atf6	Uros	0.9351605667741207
Irf7	Ifih1	0.935149973306498
