TF	Target	Confidence
Batf	Tsc22d3	0.8842883354155036
Crem	Son	0.8841526257640296
Pknox1	Son	0.8836003980865462
E2f1	Syce2	0.8826803803953044
Sox4	Cd28	0.8822831503528573
Crem	Ets2	0.8815868583143979
Arid3a	Fut8	0.8807920931620676
Foxn2	Srpk2	0.880785952247185
E2f1	Gpsm2	0.8807400393959329
Egr1	Dnajc12	0.8807346845586292
Foxn2	Tmem71	0.8805796962091027
Cebpg	Cdkn1b	0.8800357455110919
Ahr	Snx9	0.8799423480378176
Batf	Idh1	0.8797195056526674
Batf	Stat3	0.8793977918587325
Foxo3	Syf2	0.8792811770601852
Atf6	Eno3	0.8792591067283928
Ahctf1	Ets1	0.8791652488732055
Bhlhe40	Tmem38b	0.8791027984017504
Rela	Wipf1	0.8786286865160912
Atf2	Asf1a	0.8780703929905673
Rxra	Dctpp1	0.8780561409012161
Smad4	Cxcr5	0.8778426446696066
Arid3a	Tmem19	0.8776608729940593
Stat3	Fndc3a	0.8775408129433626
Pknox1	Tle4	0.8771889879149847
Ets1	Cpox	0.8770515876219174
Irf2	Ifi203	0.8766731902422542
Fos	Slc39a1	0.8765740366752359
Stat3	Rnf149	0.8761924299079794
Stat3	Notch1	0.8747671514821986
Sp2	Zadh2	0.8743644324014948
Foxo3	Tex2	0.8734769899636358
Ahctf1	Me2	0.8734067991777015
Creb3l2	Nfil3	0.8733017840948101
Ahctf1	Nek6	0.8730726117190885
Sox4	Qser1	0.8729414307990923
Rela	Cd4	0.8728118145513377
Arid3a	Cd70	0.8722623238231142
Stat3	Stat3	0.8719036464678485
Crem	Vdac1	0.8718472539578004
Tal2	Acsl6	0.8717709819047286
Klf4	Ndrg1	0.8716403993113135
Sp2	Oxct1	0.8714690046314579
Arid3a	Serpine2	0.8713724522641885
Irf4	Cd1d1	0.8707471317823147
Atf6	Sult2b1	0.8706708199334302
Bcl6	Il2rb	0.8704292921959594
Cic	Trp53i13	0.8700837791354714
Bhlhe40	Ss18	0.8700761708648346
Foxp1	Gcnt2	0.8700311347530851
Pknox1	Sesn1	0.8699789190783579
Eea1	Nfat5	0.86983125971104
Zbtb7b	Zfp36l2	0.8697625326396234
Jun	Timp1	0.8693664727318742
Nr1h2	Sqstm1	0.8691417615321866
Creb3l2	A430005L14Rik	0.8690572777259791
Bach1	Fyco1	0.8688742126702815
Irf7	Tnfrsf18	0.8683466769445428
Batf	Aes	0.8680453460934715
E2f1	Erc1	0.8679441124410046
Zbtb7b	Klf13	0.867903316951943
Pou2af1	Rbm15	0.8675252286443482
Ahctf1	Nme4	0.8666752443498431
Fos	Rbm15	0.8661935688073604
Egr1	Impa2	0.8661148113710312
Batf	Abcg1	0.8661009964060932
Zeb2	Tef	0.8659925918868526
Foxo3	Eif4e3	0.8658832330526693
Batf	Bid	0.8657527966548816
Arid3a	Ccl1	0.8656551251906439
Arid3a	Nrp1	0.8655902124751758
Batf	Ifngr2	0.8649404017635495
Jun	Tgfbr1	0.8646485356502713
Hif1a	Slc2a1	0.8644167399199238
Bach1	Gata3	0.8639444443654126
Batf	Fli1	0.8636576737114684
Bach1	Qprt	0.8634254044953931
Zfp386	Ethe1	0.863387331838207
Bach1	Oasl2	0.8630675250835063
Crem	H2-Aa	0.863024350399736
Creb3l2	Sult2b1	0.862855609832365
Rela	Cmtm7	0.8627820005376776
Batf	Basp1	0.8626243047047591
Bhlhe40	Glcci1	0.8625065497572099
Jun	Rab20	0.8623264230615739
Arid3a	Pex19	0.8619212427512247
Foxo3	Slc9a3r1	0.8619063758008079
Rxra	Snx19	0.8617891085903565
Pknox1	Kctd12	0.8612941651977284
Hif1a	Pgam1	0.8610906654495922
Mxi1	Ptp4a3	0.8609591352265942
Arid3a	Snx9	0.8604802755007035
Rreb1	Bid	0.8603070185869192
Bach1	Per2	0.8602903372500992
Zfp386	Zadh2	0.859996060731506
Egr2	Cxcr4	0.8597874889699954
Batf	Enpp1	0.8596892608426068
Cic	1190002N15Rik	0.8591184167517771
Jun	Rora	0.8588853945713575
Bach1	Glipr1	0.8583471998595412
Dzip1	Sidt1	0.8580999244229335
Bach1	Mbp	0.8579853494059072
Cic	Pdpn	0.8579847286793778
Sox4	Chchd7	0.8577981291244683
Ddit3	Cnn2	0.8575456095389976
Batf	Spata6	0.8573892750195624
Arid3a	Naa20	0.8573052519851434
Rela	Anxa2	0.8571997570188741
Batf	Extl3	0.8570610106954555
Arid2	Asf1a	0.8568607731382275
E2f1	Smpd4	0.8568600626977385
Egr2	Ptpre	0.8568508488254594
Fos	Slco3a1	0.8565188710527804
Sox4	Sh3kbp1	0.8563919341274812
Irf2	Psme1	0.8563314752835574
Stat5b	Tnfsf8	0.85622561324111
Bach1	Fbxo11	0.8561526856367809
Cic	Ift57	0.8561444257555997
Rxra	Rbmx	0.8560129296283845
Cux1	Traf3	0.8559485319417837
Batf	Nfkb1	0.8559410456642002
Batf	Akap12	0.8557375193605575
Cic	Lrrc59	0.8552926709983275
Atf2	Ptpn11	0.8551752056021668
Bhlhe40	Capn2	0.8546388822843715
E2f1	Wee1	0.8545015077005391
Cic	Utrn	0.8543221454415831
Creb3l2	Arhgap12	0.8543164451994136
Lef1	Mcoln2	0.8542919888159484
Cebpb	Zdhhc2	0.854212043889482
Irf7	Fap	0.8541365398392827
Klf3	Sh3bp1	0.8541165683742484
Cebpb	Abhd4	0.853921005861297
Dzip1	Nsg2	0.8533646739001145
Irf7	Gbp2	0.8532107872906691
Rel	Icam1	0.8531064012811279
Sp100	Gypc	0.8523071852676372
Rreb1	Prkca	0.8521562831954608
Lef1	Nr4a1	0.85169598938726
E2f1	Dtl	0.8514122794390523
Arid2	Scml4	0.8511168067601775
Fli1	Sgip1	0.8510227356030653
Arid3a	Dclre1a	0.8510056943378108
Foxo3	Impa2	0.850927139666241
Klf7	Nlgn2	0.8507428256415034
Relb	Abhd6	0.8505052323639624
Ahctf1	Acad9	0.8502900490750835
Junb	Tgoln1	0.850084166034235
Fosb	Nfat5	0.8498388012035761
Egr1	Mmachc	0.8497592014045878
Batf	Lrba	0.8495671333998935
Cebpg	Zfp36	0.849465788630281
Batf	Utf1	0.8494226702555245
Arid3a	Eno3	0.8488722741757704
Cic	Il2ra	0.8486144558719115
Atf2	Penk	0.8485104470551211
Crem	Vps37b	0.8482258736822118
Smad4	Epb4.1l2	0.8481457241019523
Ahctf1	Vps54	0.8480094233323332
Arid3a	Zmat3	0.8478018538597674
Batf	Pgm1	0.8473336201694985
E4f1	Stat3	0.8471511359307438
Rela	Tnfrsf25	0.8471071823024147
Mxi1	St3gal1	0.8470497404962323
E4f1	Ptbp2	0.8468441450311296
Batf	B3gnt2	0.8467933627467075
Zeb2	Picalm	0.8467279171868166
Irf9	Pqlc1	0.8466969741074792
Nr4a3	Rorc	0.8464540160664401
Pou2af1	Cnn2	0.8463789408851701
Batf	Atp1a1	0.8462174813993091
Patz1	Vgll4	0.8461897493550425
Ahctf1	Acy1	0.8454986382972913
Arid2	Slc2a1	0.8453652785511258
Mxi1	Acy1	0.8450592433027048
Smad4	Notch1	0.8447493684950066
Cux1	Nedd4	0.8446850807979112
Bach1	Bcl2l11	0.8445666778588636
Cic	Cysltr1	0.8443844618562274
Arid3a	9030617O03Rik	0.8439925986573962
Batf	Cd28	0.8436088658758231
Bcl6	Bzw2	0.8431164215400904
Irf1	Satb1	0.843046910178837
Arid3b	Pdlim4	0.842878201246186
Cux1	Cd86	0.8428640861197453
Creb3l2	Ddx51	0.8425663741206075
Arid3a	Qser1	0.8420925659842113
Atf2	Tnni1	0.8420754990673428
Junb	Sesn3	0.84200570212198
Egr1	Bid	0.8416713818345891
Ahr	Qtrtd1	0.8416659122942685
Gabpa	Rara	0.8413448942154772
Nr4a2	Trim12a	0.8413292883775907
Smad4	Foxo1	0.841178931272549
Fli1	4632428N05Rik	0.8410890945494197
Smad4	Ninj1	0.8410705223393389
Sp2	Cnn2	0.8409123216145862
Egr1	Sqle	0.8408845853367249
Satb1	Srgn	0.8408740420023845
Tcf3	Plekha1	0.8406342359266342
Batf	Lrmp	0.8404906380801336
Mnt	Syce2	0.8399295650706325
Bach1	Parp8	0.8398328055284328
Batf	Polr3gl	0.8393841974365859
Litaf	Snx9	0.8392780278850616
Bach1	Rab20	0.8391839708023998
Foxo3	Myo18a	0.8389674268342058
Batf	Cyfip2	0.8389110045669804
Cic	Ctnna1	0.8387655911890339
Cic	Ctla2a	0.838557047891583
Irf9	Serpinb9	0.8384790506850149
Etv6	St3gal1	0.8384026025153768
Batf	Flt3l	0.8383906114732396
Batf	Arid5a	0.8382257460665845
Cic	Anxa4	0.8380732022851531
Elk4	Tspan2	0.8379285951383957
Cic	Il24	0.8377628785587075
Cic	Timd2	0.8375393504741642
Cux1	Fundc2	0.8373641428727653
Nr4a1	Il2ra	0.8373283180370019
Batf	Gpr146	0.8370096513109369
Bhlhe40	Pacs1	0.8368482416436526
Cic	Cndp2	0.8368013574115056
Ahctf1	Plod3	0.8365380639768707
