TF	Target	Confidence
Cux1	Gyk	0.6355207329433398
Stat3	Bcl3	0.635403290450892
Cic	Ctla2a	0.6348573970314931
Bhlhe40	Slc9a3r1	0.6346236910509506
Zbtb7b	Rps6ka3	0.6344058700810277
Elf1	Il12rb1	0.6335815273100418
Irf7	Irf7	0.6335250627944324
Irf8	Serpinb6b	0.6329750234195914
Cux1	Pter	0.6310691409298924
E2f1	Lrrc59	0.6310018486036362
Sox4	Smarca2	0.6307464958360924
Ncoa1	Lrba	0.6301596305707425
Bhlhe40	Map4k4	0.6298522078727253
E2f1	Smpd4	0.6296954874964995
Irf4	Ms4a4b	0.6296280318411518
Atf6	Ptprf	0.6295665305285405
Fosl1	Anxa2	0.6294422576674497
Cic	Cpd	0.6284098576503021
Bhlhe40	Aqp3	0.6277760780529154
Egr3	Cnot1	0.6276549108411893
Nr1d2	Adam19	0.627441368390729
Etv6	Icam2	0.6274319850518426
Nr1d2	Hvcn1	0.6261095095066636
Maff	Gja1	0.6247945331068538
Ikzf4	Qtrtd1	0.6244238899871835
Arid3a	Sema4d	0.6241244870649404
Crem	Hspa4l	0.6231877351858565
Fli1	BC021614	0.6213144050559835
Irf8	Ccl5	0.6210372688272503
Etv6	Exosc8	0.620697496768908
Cux1	Stat4	0.6195148000236028
Bhlhe40	Cnnm3	0.6194230479718348
Tal2	Tmem38b	0.618946000832894
Klf4	Plscr3	0.6185123443136763
Zfx	Hlcs	0.6183883639663035
Hif3a	Ptpn2	0.6178320302161759
Ddit3	Nrp1	0.6161366362047012
Gabpa	Ppp1r10	0.6157494281402915
Ddit3	Plekha1	0.6156609902178624
Bhlhe40	Epb4.1l2	0.6154124244254533
Fosl2	Nrp1	0.6153882385460793
Elf1	Fbxo2	0.6149207036154851
Cic	Mllt6	0.6144497658500742
Batf	Spata6	0.6133831109957972
Foxn2	Nek6	0.6133594239508318
Zbtb7b	Srpk1	0.6132252392376553
Crem	Map3k14	0.6129071016711982
Cux1	Wisp1	0.6126658888318598
Zfp281	Sra1	0.612577479798841
Arid3a	Cnot1	0.6120416010128299
Cic	Smox	0.6115496410212369
Cebpz	Eea1	0.6111467972878093
Egr1	Ccdc50	0.611071321342654
Egr3	Jak3	0.610979735398101
Klf4	Sdcbp2	0.6108635586431891
Bhlhe40	Stx1a	0.610841605582696
Rela	H2-Ab1	0.6094717147706272
E2f1	Mllt6	0.6094224176961743
Irf4	Itgb3bp	0.6093324609297344
Ikzf4	Heatr1	0.6092780026216711
Cic	Sema7a	0.6087479867605847
Elk4	Lrrc59	0.6083531281846963
Klf4	Lgals1	0.6081104790926206
Egr1	Ick	0.6080485529100254
E2f1	Tspan2	0.6076253412689243
