TF	Target	Confidence
Irf4	Foxp1	0.6716292744165668
Cebpb	Marcks	0.6713627166652347
Ikzf4	Abcb1b	0.6709375315631223
Foxo1	Cdkn1b	0.6705419841485483
Foxo1	Ypel3	0.6704011160322978
Cbx2	Sidt1	0.6703842911533543
Irf4	Clec2i	0.6690268667762027
Elf1	Chd7	0.6687159207171349
Zeb2	Penk	0.6682981627978017
Egr3	Notch1	0.6682603542679802
Nr1d2	Adam19	0.6680594138578497
Sp2	Ccbl2	0.6666874387206689
Zfp281	Rara	0.6658450884497615
Zfx	Pacs1	0.6653644621248421
Phf1	Cdk6	0.6650931054653011
Etv6	Mpdu1	0.6650389215606926
Foxn2	Npc2	0.6647290536644048
Gabpa	Smyd5	0.664598947895213
Foxo1	Mxi1	0.663509468783165
Mxd4	Slc1a4	0.663242224031179
Klf9	Ppme1	0.6631987595766229
Crem	Inpp1	0.6628203069427456
Nfkb2	Ptprs	0.6622025894887741
Egr3	Tgfbr1	0.6621726992982624
Cux1	Cmtm7	0.6618539275566726
Maff	Gja1	0.6608787281495165
Atf6b	Nfatc1	0.6600778120082428
Ncoa3	Picalm	0.659487476885376
Ikzf4	Ehd3	0.6577687686596565
Zfp280c	Pigb	0.6574560591586247
Atf6b	Snx19	0.6571338209205984
Egr3	Ifnar1	0.6570176808774907
Egr1	Ick	0.656566808320948
Mtf2	Txndc17	0.6555593163222115
Atf6b	Cep68	0.654243901807601
Cux1	Lrmp	0.65421101401979
Stat3	Calcrl	0.6526259688302283
Bhlhe40	Tab2	0.6520032740614323
Elf1	Egr3	0.6519992953744791
Klf6	Ptger2	0.651970941046262
Irf9	Stat2	0.6499671823888875
Zbtb7b	Rps6ka3	0.6497206518112677
Bhlhe40	Bmp2k	0.6491298743362728
Egr3	Tulp3	0.648548666868978
Irf9	Oasl2	0.6483608843501556
Ddit3	Mboat7	0.6482994743031462
Nr1h2	Tcf25	0.6467576097783202
Rela	Bcl3	0.6460417088410395
Arid2	Larp1b	0.6460045139322967
Bhlhe40	Trappc10	0.6458857741970818
Zfpm1	Kctd12	0.6453244191273763
Stat1	Zbp1	0.6450734084152434
Arid3a	Zfp426	0.6447089238246838
Cic	Mllt6	0.6446795056812873
Cebpb	Slc19a2	0.6446394100126387
Cc2d1a	Tyw1	0.6441877730403993
Hif1a	Sap30	0.6438598758566185
Hmga1_Hmga1-rs1	Gnptab	0.6432128453033148
Zfp35	Mgat4b	0.643057991539906
Zfp35	Ccdc92	0.6430556011338553
Egr3	Gpr83	0.6429945683995365
Drap1	Pknox1	0.6420563442281475
Klf3	Gsn	0.6418982376528164
Stat3	Trps1	0.6416694952443054
Eea1	Slc29a3	0.6416240264490983
Fli1	BC021614	0.6413456266374837
Cebpb	Rabggta	0.6413103190356965
Plscr1	Map3k8	0.6410847326473816
Zfp703	Zfpm1	0.640938797983728
Ash1l	Traf3	0.6408824924885153
Fosl1	Lsp1	0.6407455828509041
Rela	Mxi1	0.6404707613343887
Mxd4	Ypel3	0.6396475183020063
Fos	1110007C09Rik	0.6385299678348131
Bhlhe40	Klf2	0.6380614135212879
Klf4	Sla2	0.6376753839429896
Arid3a	Trim12a	0.6374672365249889
Maff	Ddx51	0.6373376055126848
Hif1a	Xpnpep1	0.6372850315974962
Ikzf4	Gart	0.637041648949642
Zfp568	Tubgcp5	0.6365844620199502
Nr3c1	Abcb1b	0.6362723965080805
Egr1	Serpine2	0.6361322662508435
Plagl2	Il4ra	0.6361102490950707
Mxi1	Tnfrsf21	0.6357924018430767
Zfp51	Fndc3a	0.6357136633810665
Batf	Ahnak	0.6345025647914707
Irf4	Ncs1	0.6338132790484948
Hmga1_Hmga1-rs1	Gbp2	0.6329053319463802
Klf7	Eci2	0.6322770217949989
Gabpa	Ecd	0.6321244516940551
Irf8	Serpinb6b	0.6314828388320622
Irf8	Epsti1	0.6314391292186952
Foxo3	Sh3bp1	0.6310825846900885
Nr3c1	Smg5	0.6308288934743851
Cbx2	Pdlim4	0.6308207057871629
Batf	A430005L14Rik	0.630614663139666
Litaf	Tfpi	0.6304968976038758
Irf4	Rel	0.630226732999296
Rora	Ndst1	0.629785099626748
Klf3	Nek6	0.6295796008729538
Bhlhe40	Cnnm3	0.6292627018630336
Trps1	Antxr2	0.6291942563184537
Eea1	Calcrl	0.6291092607156872
Zeb2	Srxn1	0.6289804553795283
Zfp280c	Ostf1	0.6286285886836243
Egr3	Pigc	0.6278402251881918
Hif1a	Pafah1b3	0.6275543210126977
Foxn2	Cbx4	0.6264628873827653
Klf4	Anxa4	0.62589684652996
Egr1	Decr1	0.6256036437875236
Bhlhe40	Slc9a3r1	0.6253978358181291
Zfp280c	Cox17	0.6250663557157664
Creb1	Cebpg	0.6244276999252604
Stat2	Kcna3	0.6243576564322753
Klf4	Lgals1	0.6243086202625412
Irf8	Trim12a	0.6241885125801643
Irf4	Nsg2	0.6241733367182758
Egr3	Tbxa2r	0.6241598142472284
Cebpb	Nedd4	0.6241394427008884
Irf8	Ifih1	0.6232425373794224
Fosl1	Sema7a	0.6230961125950694
Klf9	Cd44	0.6227968490568689
Hif1a	Ier3	0.6227554351544337
Klf4	Ctla2a	0.622618808951888
Etv6	Naca	0.6226181260015056
Klf10	Wisp1	0.6222553954038499
Cic	Plod3	0.6222317294562086
Bhlhe40	Skil	0.6221526702381972
Egr3	Nfkb2	0.6219637442014456
Tcf3	Map3k5	0.6217638341950227
Foxo1	Sh3bp5	0.6216959209473758
Batf	Eci1	0.6216549257579598
Fli1	Emb	0.6210702252750608
Irf4	Psme1	0.6209584481927526
Zfp598	Slc1a4	0.6209400957144031
Etv6	Psme2	0.6204765475064725
Eea1	Batf	0.6200852988761202
Cic	Pmepa1	0.6197938274187871
Arid5a	Anxa2	0.6193393827088756
Foxn2	Snx9	0.6184621155457867
Nr1d2	Ndst1	0.61843421673197
Ankzf1	Pfkp	0.6180897164550936
Zfp51	Dlst	0.6178444669239391
Creb1	Ramp3	0.6178245785299962
Fos	Sugt1	0.6176860022506181
Zfp386	Irf4	0.6176611781098706
Erf	Dnajc21	0.6176374463726393
Pou2f2	Slc19a2	0.6168414605595616
Zfp869	Rassf3	0.6168383296623934
Klf13	Rps6ka4	0.6163307199591703
Bhlhe40	Itpr3	0.615657251849584
Zfp617	Herc4	0.6155447524431872
Skil	Acvr1b	0.6154618077860805
Stat3	Flot1	0.6154328508351922
Arid5a	Slc9a8	0.6153778501395939
Tulp3	Rhoq	0.6152631318089697
Cdc5l	Slc4a8	0.6150093179646188
Arid2	Anxa2	0.6147510985436349
Fosl2	Igf2r	0.6144483753953155
Klf7	Psme2	0.6141319915728386
Egr1	Ethe1	0.6140015869157434
Cic	Rnf149	0.6133753702537272
Zfp280c	Sra1	0.6128788468630751
Zfp35	Dusp12	0.6128348652426507
Bcl11b	Trat1	0.6127917565481902
Cux1	Tal2	0.6126369044564365
Ski	Lif	0.6120842040040264
Rreb1	Gdi1	0.6120044735478347
Creb3l2	Foxp1	0.6113438231721503
Mga	Tspan2	0.6111598927150705
Cic	Smox	0.6111097620878674
Tcf3	Galk1	0.6110235527796855
Irf7	Tapbp	0.6104495276743205
Arid2	Crip1	0.6102985358698774
Hif1a	Sertad1	0.6100618054532119
Sp2	Tyw1	0.6098671708039047
Zbtb7a	Mtss1	0.6097853517506858
Zfp35	Dhrs4	0.6096993512595335
Irf4	Ptprcap	0.6093756912907753
Batf	Bmyc	0.6093665696672972
Ets1	Rbms2	0.6091393256294435
Nr1h2	Max	0.6087040936460809
Nr1d2	Ccl20	0.6083478380848704
Tal2	Tnfrsf13c	0.6083237598674625
Foxn2	Gimap7	0.6082452201534433
Mxd4	Irf4	0.607862408800254
Cc2d1a	Cdk16	0.60784498529981
Egr3	Sh3bp1	0.6076690079119845
Tcf3	Vapb	0.6070706042253512
Klf4	D1Ertd622e	0.6069697540363912
Hif3a	Kcna3	0.605908548849834
Zfp644	Ptp4a1	0.605786480617899
Crem	Nsg2	0.6057560114251785
Egr1	Ggct	0.6052707668280042
Cic	Acsbg1	0.6043469154892718
Cebpb	Nfil3	0.6042570028250711
Arid2	Txndc17	0.6040267056532012
Cebpz	L1cam	0.6038378173218553
Mnt	Tpst1	0.6037368344422364
Stat1	Cd86	0.60319924032017
E4f1	Skil	0.6027945991527952
Arid5a	Pcbp4	0.6025898201178945
Irf9	Asns	0.6025857305082315
Ski	Pmepa1	0.6024741213354496
Arid2	Anxa4	0.6023938160044526
Klf13	Ell2	0.6023821495975179
Fosl1	Tmem173	0.6021604357068695
Batf	Chm	0.6020726426291597
Eea1	Mapkapk2	0.6018202070150453
Atf5	Pde7a	0.6018162013558677
Irf8	Serpinb9	0.6015594985895003
Klf4	Arid3a	0.6012663943767
E2f1	Ptpn11	0.6012453030393086
Zeb2	Abcd3	0.6003848678465094
Drap1	Sepw1	0.6002300690998681
Bhlhe40	Mtss1	0.6001809202757463
E2f1	Smpd4	0.6000954420701485
Cux1	Tmem173	0.6000910192274356
Mafg	Tspan3	0.598268945943433
E2f1	Rpa2	0.5981039278640508
Ncoa3	Fap	0.5979545291133519
Tal2	Serpinc1	0.5979202296914508
Rlf	Nudt8	0.5976396562582194
Arid3a	Mapk7	0.5972184280056633
Klf4	Sdcbp2	0.5967271210688823
Elk4	Socs1	0.5967118073414275
Cenpb	Ercc5	0.5966734842476509
Klf13	Sun1	0.5965583403190399
E2f1	Iqgap2	0.5961466358601529
Tal2	Tmem19	0.5961402924316718
Bhlhe40	Tnk2	0.5959279733282219
Egr3	Skap2	0.5958770798381036
Cic	Il21	0.595617763409832
Egr2	Arrb1	0.5955578956404641
Mxd4	Slc35d1	0.5952009560808684
Irf4	Erc1	0.5950434746951669
Adnp	Fth1	0.5950041080865386
Usf2	Anln	0.5945848132562241
Zfp329	Trim24	0.5939253414695475
Srf	Rgs16	0.5937125934327443
Zfp277	Exosc8	0.5934794747171803
Plscr1	Nckap1	0.5933128357049451
Zfp426	Tmem43	0.5929673042353567
Klf4	Anxa2	0.5929257317563117
Klf4	Exoc6	0.5927351840446646
Irf9	Ifit3	0.5926660734624256
Arid3a	Cpd	0.5926537749771377
Zfp574	Cyfip2	0.5923466399494125
Mbd6	Vamp2	0.5923059044149612
Klf9	Tns1	0.5921536500446902
Gabpa	Tprkb	0.5917002128931019
Skil	Stambp	0.5916388044981928
Mafg	Chchd7	0.5915511156934876
Cux1	Celf2	0.5910408221763894
Zfp281	Sh2b1	0.5903674721282816
Egr3	Rbmx	0.5896912310796805
Stat3	Ppp3ca	0.5895700394506627
Elk3	Nfatc1	0.589565998463622
Plscr1	Rap2b	0.5891541356673273
Egr1	BC021614	0.5890781121078958
Foxo3	Capn2	0.5890570234639373
Junb	Tle4	0.5890491250861707
Stat3	Gata3	0.5889227389791826
Zeb2	Ptger2	0.5888987939929329
Cebpb	Narf	0.5885619374474733
Zeb2	Tspan2	0.5884249036559448
Zfp277	Maoa	0.5882295723288566
Zfp574	Reps1	0.5878721617874254
Creb1	Rap2b	0.5878489882454427
Srebf2	Asf1a	0.5875179631688612
Arid3a	Kdelc1	0.5874536676268645
Mxd4	Eid1	0.5874223331862214
Cux1	Stk39	0.5874021381390397
Zfp574	Cltb	0.5870935583392524
Zfp568	Cln5	0.5870225682424312
Arid3a	Impdh1	0.5870153058441095
Fosl1	Pstpip1	0.5867621826121623
Klf7	Rras	0.5866891131616017
Bbx	Il10	0.5866388648755609
Ncoa3	Itga3	0.5864597864783263
Patz1	Dnajc21	0.5864104332606337
Klf4	Ostf1	0.5862723988752537
Runx1	Pgs1	0.5861309846060937
E2f1	Wee1	0.5860674691867714
Zfp35	Kctd17	0.5856378412379455
Irf8	Srgn	0.5853274315362853
Hif1a	Rnf181	0.5852337477038245
Foxo1	Parp9	0.585162613894731
Zfp281	Ggta1	0.5850626411297857
Ash1l	Pgrmc1	0.5844422708247836
Klf6	Trp53i13	0.5838929496456329
Zfp280c	Cdk5r1	0.583787217750438
Egr3	Zfp36l1	0.583568241745772
Nr1h2	Sqle	0.583355316118848
Satb1	Itga3	0.5832008287127199
Fosl1	Bmpr1a	0.5830343814690174
Klf10	Rhoq	0.5830305717823341
Egr2	Arhgap17	0.5828306037529267
Arid2	Tle4	0.582625843778168
Zfpm1	Cysltr1	0.582198164379073
Zfp280c	Aim1	0.5820716976568623
Foxn2	Runx1	0.581433296635481
Zfp644	Kctd12	0.580963625956592
Klf13	Emp1	0.5804033796443848
Elf1	Cdc25b	0.5798987475202163
Bhlhe40	Ski	0.5798854897342012
Arid5a	Ncs1	0.5798312383826112
Stat3	Lactb	0.5792566634768617
Klf6	Clic1	0.5790646984608098
Fos	Tnfsf9	0.5788833757914668
Cdc5l	Taf7	0.5786526982035014
Mxd4	Gfi1	0.5783198207860839
Cic	Timp1	0.5780614181300966
Cux1	Cd70	0.5776838356340674
Sox4	Agpat3	0.5775629958163451
Bcl6	Sh3bp1	0.577330038995369
Arid2	Cd9	0.5767161010076547
Tcf12	Ccnd3	0.5766860144022348
Klf4	Ccng2	0.5766299360616234
Mga	Il12rb2	0.5765394090786921
Foxn2	Herc4	0.5765151425606072
Sox4	Fam83g	0.5763736550303975
Stat2	Anxa3	0.5759758711390774
Zfp101	Ss18	0.5759561837546068
Arid2	Stat5b	0.5757968590267648
Cux1	Kdelc1	0.5756288767465291
E2f1	Tyms	0.5755989015829528
Zfp52	Rhoq	0.5749709964331902
Egr1	Kdelc1	0.5748902817239236
Batf	Aen	0.5746464917460032
Tsc22d1	Pigb	0.5745263693877071
Foxn2	Slc39a14	0.574244200294071
Fosl1	Gatm	0.5735531813566815
Klf7	Pbx2	0.5734953925045181
Creb1	Csnk1e	0.5733967322690126
Batf	Akap12	0.5732249611843148
Elk4	Dctpp1	0.5731282201839991
Ddit3	Clk3	0.5729355841851755
Zfp445	Acin1	0.5727556019560893
Ncoa3	Socs1	0.5725618123172787
Ddit3	Acad9	0.572327142020757
Nfkb2	Lif	0.5718066809185542
Irf4	Fam3c	0.571774579731644
Arid5a	Cd5l	0.5717610339492724
Tal2	Batf	0.5716558738654482
Zfp688	Tnfsf8	0.5711237533285294
Bcl11b	Sh2d3c	0.5711122501473385
Elf1	Rpl10a	0.5710771238423543
Crem	Crem	0.5710757818445968
Sp3	Anxa11	0.5709749550890749
Nr1d2	Trp53i13	0.5709668747989713
Eea1	Tex15	0.5708080438676897
Stat3	Klf3	0.5705967515748057
Zeb2	Rps6ka3	0.5705311803022353
Zfp53	Riok3	0.5704147357304864
Zfp35	Zscan21	0.5702982988450715
Egr3	Gnb5	0.5702336931197336
Arid5a	S100a6	0.5701310710468379
Klf4	C2cd2l	0.5700233915962595
Lef1	Eea1	0.569855460280704
Zfp445	Nfyb	0.5696264741584516
