TF, Gene	Bulk	MicroArray
("Rorc", "Cd2")	false	false
("Fosl2", "Cd2")	false	false
("Hif1a", "Cd2")	true	true
("Batf", "Cd274")	true	true
("Irf4", "Cd274")	true	true
("Irf4", "Cd28")	false	false
("Stat3", "Cd28")	false	false
("Fosl2", "Cd28")	false	false
("Batf", "Cd44")	false	false
("Irf4", "Cd44")	true	true
("Fosl2", "Cd44")	false	false
("Irf4", "Cd47")	false	false
("Fosl2", "Cd47")	false	false
("Batf", "Cd5l")	false	false
("Irf4", "Cd5l")	false	false
("Stat3", "Cd5l")	false	false
("Fosl2", "Cd5l")	false	false
("Batf", "Cd83")	false	false
("Irf4", "Cd83")	true	true
("Stat3", "Cd83")	false	false
("Rorc", "Cd83")	false	false
("Fosl2", "Cd83")	true	true
("Fosl2", "Cd86")	true	true
("Fosl2", "Cd9")	false	false
("Irf4", "Cdc25b")	false	false
("Stat3", "Cdc25b")	false	false
("Batf", "Cdc42ep3")	true	true
("Stat3", "Cdk6")	true	true
("Hif1a", "Cdk6")	true	true
("Stat3", "Cdkn1b")	false	false
("Rorc", "Cdkn1b")	false	false
("Hif1a", "Cdkn1b")	true	false
("Batf", "Cdkn2c")	false	false
("Irf4", "Cdkn2d")	true	false
("Stat3", "Cdkn2d")	true	true
("Hif1a", "Cdkn2d")	true	false
("Rorc", "Celf2")	false	false
("Irf4", "Chd7")	false	false
("Stat3", "Chd7")	true	true
("Rorc", "Chd7")	false	false
("Fosl2", "Chd7")	false	true
("Batf", "Chm")	true	true
("Irf4", "Chm")	false	false
("Stat3", "Chm")	true	true
("Fosl2", "Chm")	false	false
("Stat3", "Chmp4b")	true	true
("Rorc", "Chmp4b")	false	false
("Hif1a", "Cish")	false	false
("Batf", "Clec2i")	true	true
("Irf4", "Clec2i")	true	true
("Fosl2", "Clec2i")	true	false
("Irf4", "Clic1")	false	false
("Stat3", "Clic1")	true	true
("Irf4", "Clic4")	false	false
("Hif1a", "Clk3")	true	false
("Hif1a", "Clybl")	true	true
("Batf", "Cmah")	true	true
("Irf4", "Cmas")	false	false
("Fosl2", "Cmas")	true	true
("Hif1a", "Cmas")	true	true
("Batf", "Cmtm7")	true	true
("Irf4", "Cmtm7")	true	true
("Stat3", "Cmtm7")	false	false
("Fosl2", "Cmtm7")	false	false
("Rorc", "Cndp2")	false	false
("Batf", "Cox17")	false	false
("Batf", "Cpd")	false	false
("Irf4", "Cpd")	false	false
("Stat3", "Cpd")	true	true
("Rorc", "Cpd")	false	false
("Batf", "Cpox")	false	false
("Irf4", "Cpox")	false	false
("Irf4", "Creb3l2")	false	false
("Fosl2", "Creb3l2")	false	false
("Batf", "Crem")	true	true
("Irf4", "Crem")	false	false
("Stat3", "Crem")	false	false
("Rorc", "Crem")	true	false
("Fosl2", "Crem")	false	false
("Hif1a", "Crem")	true	false
("Stat3", "Crip1")	false	false
("Hif1a", "Crip1")	true	true
("Fosl2", "Crtam")	true	false
("Irf4", "Cs")	false	false
("Batf", "Ctla2a")	true	true
("Irf4", "Ctla2a")	false	false
("Fosl2", "Ctla2a")	false	true
("Batf", "Ctla2b")	true	true
("Irf4", "Ctla2b")	false	false
("Rorc", "Ctla2b")	false	false
("Fosl2", "Ctla2b")	true	true
("Batf", "Ctla4")	true	true
("Irf4", "Ctla4")	false	false
("Stat3", "Ctla4")	true	true
("Fosl2", "Ctla4")	true	true
("Hif1a", "Ctla4")	true	false
("Batf", "Ctsb")	true	true
("Irf4", "Ctsb")	false	false
("Fosl2", "Ctsb")	false	false
("Stat3", "Ctsw")	false	false
("Hif1a", "Ctsw")	false	false
("Irf4", "Cxcl10")	true	false
("Fosl2", "Cxcl10")	false	false
("Batf", "Cxcr3")	true	true
("Stat3", "Cxcr3")	true	true
("Fosl2", "Cxcr3")	false	false
("Irf4", "Cxcr4")	false	false
("Hif1a", "Cxcr4")	true	false
("Irf4", "Cxcr6")	true	false
("Irf4", "Cyfip2")	false	false
("Stat3", "Cyfip2")	false	false
("Irf4", "Cyp11a1")	false	false
("Stat3", "Cyp11a1")	true	true
("Fosl2", "Cyp11a1")	false	false
("Batf", "Cysltr1")	true	false
("Irf4", "Cysltr1")	false	false
("Rorc", "Cysltr1")	true	true
("Fosl2", "Cysltr1")	false	false
("Hif1a", "Cysltr1")	true	true
("Batf", "Cyth1")	true	true
("Rorc", "Cyth1")	false	false
("Irf4", "Cyth3")	true	true
("Fosl2", "D930015E06Rik")	false	false
("Stat3", "Dctn4")	false	false
("Batf", "Ddit3")	false	true
("Irf4", "Ddit3")	false	false
("Stat3", "Ddit3")	false	false
("Fosl2", "Ddit3")	false	false
("Hif1a", "Ddit3")	true	true
("Irf4", "Ddit4")	false	false
("Stat3", "Ddit4")	false	false
("Hif1a", "Ddit4")	true	true
