BSU00370
BSU08100
BSU01810
BSU24250
BSU36020
BSU23590
BSU33970
BSU25810
BSU05330
BSU26720
BSU30400
BSU22440
BSU24100
BSU26580
BSU24020
BSU29740
BSU14140
BSU25250
BSU33950
BSU09430
BSU07590
BSU16170
BSU31680
BSU10420
BSU33520
BSU33010
BSU00830
BSU27520
BSU37650
BSU19120
BSU35490
BSU39430
BSU19200
BSU00010
BSU12370
BSU28550
BSU37310
BSU32560
BSU14380
BSU23520
BSU03890
BSU28410
BSU02450
BSU17450
BSU18460
BSU26670
BSU05850
BSU40050
BSU06140
BSU25490
BSU03470
BSU39770
BSU22120
BSU04100
BSU27080
BSU17850
BSU33080
BSU38600
BSU02680
BSU08190
BSU12000
BSU13670
BSU24520
BSU36600
BSU04160
BSU27890
BSU02740
BSU09380
BSU13150
BSU08340
BSU08730
BSU29110
BSU32420
BSU00470
BSU23120
BSU40350
BSU14240
BSU37620
BSU01540
BSU33790
BSU08810
BSU24610
BSU34380
BSU24220
BSU36420
BSU00560
BSU13310
BSU07820
BSU40410
BSU12510
BSU17590
BSU02500
BSU03750
BSU03960
BSU05420
BSU07010
BSU07220
BSU07390
BSU19540
BSU26430
BSU29400
BSU30460
BSU38220
BSU39660
BSU25100
BSU15320
BSU23450
BSU15330
BSU33680
BSU05970
BSU14480
BSU31530
BSU34720
BSU00980
BSU13450
BSU09520
BSU01730
BSU23100
BSU11500
BSU27170
BSU32870
BSU26350
BSU16470
BSU37290
BSU40870
BSU09560
BSU36300
BSU05050
BSU05060
BSU24770
BSU30260
BSU32140
BSU17080
BSU35910
BSU13920
BSU02370
BSU21780
BSU39990
BSU31070
BSU02220
BSU02320
BSU02970
BSU03080
BSU03170
BSU03850
BSU03880
BSU05130
BSU05150
BSU05170
BSU05180
BSU05320
BSU05370
BSU05460
BSU05640
BSU05670
BSU05700
BSU06700
BSU06860
BSU08370
BSU08410
BSU08990
BSU09060
BSU10150
BSU10880
BSU13340
BSU13870
BSU16810
BSU18760
BSU18850
BSU19050
BSU18740
BSU21700
BSU26870
BSU26630
BSU28400
BSU30150
BSU30020
BSU32920
BSU33990
BSU34480
BSU35200
BSU38450
BSU38310
BSU37550
BSU36440
BSU36160
BSU36110
BSU40010
BSU38880
BSU40800
BSU40710
BSU40670
BSU40130
BSU04730
BSU34200
BSU27120
BSU38700
BSU12560
BSU14730
BSU09990
BSU25200
BSU33221
BSU15090
BSU15880
BSU10560
BSU18420
BSU01640
BSU01690
BSU03230
BSU03620
BSU05270
BSU05290
BSU13480
BSU13760
BSU25760
BSU27000
BSU29030
BSU31410
BSU33230
BSU33660
BSU33670
BSU34170
BSU34180
BSU34630
BSU35030
BSU40540
