"isTs"	"is1stLast"	"prevCol"	"del.t"	"condName"
FALSE	"e"	NA	NA	"sigW1.4_2_BG"
FALSE	"e"	NA	NA	"sigW1.4_2_FG"
FALSE	"e"	NA	NA	"sinReps_1_BG"
FALSE	"e"	NA	NA	"sinReps_1_FG"
FALSE	"e"	NA	NA	"sinReps_2_BG"
FALSE	"e"	NA	NA	"sinReps_2_FG"
FALSE	"e"	NA	NA	"ycnC_0.9_1_BG"
FALSE	"e"	NA	NA	"ycnC_0.9_1_FG"
FALSE	"e"	NA	NA	"ycnC_1.4_1_BG"
FALSE	"e"	NA	NA	"ycnC_1.4_1_FG"
FALSE	"e"	NA	NA	"yoaUT3.5_BG"
FALSE	"e"	NA	NA	"yoaUT3.5_FG"
FALSE	"e"	NA	NA	"yoaUT5.5_BG"
FALSE	"e"	NA	NA	"yoaUT5.5_FG"
FALSE	"e"	NA	NA	"ytdP_T0.5_BG"
FALSE	"e"	NA	NA	"ytdP_T0.5_FG"
FALSE	"e"	NA	NA	"ytdP_T0_BG"
FALSE	"e"	NA	NA	"ytdP_T0_FG"
FALSE	"e"	NA	NA	"yxaD_T0.5_BG"
FALSE	"e"	NA	NA	"yxaD_T0.5_FG"
FALSE	"e"	NA	NA	"yxaD_T1.0_BG"
FALSE	"e"	NA	NA	"yxaD_T1.0_FG"
