TF	Gene	Variance_Explained	Rank	Count	Sign
Elf1	Riok3	0.1766464237773488	2637.45	3	-1
Fli1	Sh2d3c	0.17448000760285276	3101.7	6	1
Clock	Anapc1	0.1741526871304347	3831.8	10	1
Sp110	Tfg	0.17409215452704085	3119.9	7	1
Satb1_Satb2	Riok3	0.17387417518620288	2880.4	4	1
Drap1	Dazap2	0.1733968644201907	2887	5	1
Tcf3	Sh2d3c	0.17327992167904024	3106.95	7	1
Zfp53	Dusp6	0.1721926751565773	2877.05	5	1
Klf13	Papss1	0.1712932815631723	3353.95	8	1
Cenpb	Emb	0.17094860047770494	2880.15	4	1
Elf1	Dusp6	0.17043458182629148	3799.9	10	1
Fli1	Emb	0.16975694038307876	3348.75	8	1
Irf7	Anapc1	0.16865069077444161	3584.9	9	1
Egr1	Golm1	0.16853580241477473	2863.9	5	1
Klf7	Psph	0.1683044787977539	3819.3	10	1
Zfp322a	Ube2v1	0.16822293587975343	3357.8	8	1
Irf4	Armcx2	0.16770778810133652	2879.8	6	1
Atf6	Ddr1	0.16694814745769576	3812.6	10	1
Plagl1	Riok3	0.16663518020657192	2873.15	5	-1
Phf1	Aldh3a2	0.16641446672780383	3590.45	9	1
Bcl6	Tfg	0.16549496115168902	3348.1	8	1
Hif1a	Dhrs1	0.16466456423766618	3587.45	9	1
Hif3a	Ddr1	0.16369352714200178	3815.5	10	1
Stat3	Ddr1	0.16307773062632455	3100.15	7	1
Elk4	Dusp6	0.16231088860674991	2874.7	6	1
Arid5a	Psph	0.161310549395345	3808.5	10	1
Foxo3	Gja1	0.16011048478232906	2628.8	5	1
Scml4	Dusp6	0.15838777998616926	2872.85	4	1
Nfil3	Tfg	0.1577553231030734	3117.25	6	1
Hes6	Dazap2	0.15755486278744893	2625.4	4	1
Tef	Psph	0.15706088913374064	3589.85	9	1
Egr2	Papss1	0.15702733004873135	3583.75	8	1
Hif1a	Tfg	0.15605504089366523	3819.2	10	1
Cic	Golm1	0.15583762273452492	3112.55	6	1
Nfic	Emb	0.15533731732888928	3115.15	5	1
Lyl1_Tal2	Gsn	0.15458161069874424	3805.1	10	1
Klf10_Klf11	Anapc1	0.15194702351397185	3114.6	7	1
Nr1h2_Nr1h3	Ddr1	0.15092595653266447	2376.45	2	1
Nr4a3	Plod3	0.15039846884658092	3108.8	6	1
Bcl6	Gja1	0.149703038887084	3808.8	10	1
Arid2	Tfg	0.1483459142315368	3557.55	9	1
Zfp281	Sh2d3c	0.1468929492315778	2871.25	5	1
Bbx	Emb	0.1465527387527425	2867.9	6	1
Nr1h2_Nr1h3	Spry1	0.14599060802443523	2850.15	6	1
Zbtb1	Armcx2	0.1429593260748135	3109	7	1
Gtf2ird1	Spry1	0.14204124328532491	2625.55	4	1
E4f1	Spry1	0.14123401094203958	3334.9	8	1
Atf6	Dazap2	0.1404962693693433	2618.5	3	1
Nfe2l2	Ube2v1	0.14030555858507604	3102.05	7	1
Satb1	Dhrs1	0.1402208347089407	3571.25	9	1
Ets2	Dhrs1	0.1399844818261547	3103.85	7	1
Ddit3	Sh2d3c	0.1398901401481898	3575.9	9	1
Stat1	Psph	0.138803931276417	2870.6	5	1
Bhlhe40	Sh2d3c	0.13747082128671143	2624.6	4	1
Elk4	Tfg	0.13726771626921225	2869.2	5	1
Fosl1	Tfg	0.13702046157804498	3324.05	7	1
Clock	Spry1	0.13683710925139542	3571.95	9	1
Atf3	Dhrs1	0.13573590749769435	3092.15	7	-1
Zfp280c	Anapc1	0.13568960663383084	2623.8	4	1
Mxi1	Gja1	0.13491063461980324	3105.35	6	1
Ahctf1	Anapc1	0.13454798842412174	3807.9	10	1
Srebf1	Tfg	0.13359003027693458	3335.2	8	1
Fosl1	Ube2v1	0.13353820525539542	3102.6	7	1
Egr1	Psph	0.1334435738517869	3793	10	1
Klf13	Dazap2	0.13298194026110952	2622.65	4	1
Klf3	Riok3	0.1320102699004983	2862.45	4	1
Egr1	Dhrs1	0.13162411589030523	3098.2	6	1
Zeb1	Golm1	0.13127423112748776	2862.85	5	1
Hif3a	Dhrs1	0.13101963958807467	3327.4	8	1
Cbx2	Papss1	0.13030368696675926	2862	6	1
Myc	Spry1	0.12989393363355517	3086.65	6	1
Litaf	Psph	0.12919418578087516	2850.8	6	1
Zfp277	Psph	0.12879420567860456	2620.45	4	1
Atf5	Riok3	0.12872881923339335	3330.65	6	1
Bbx	Gsn	0.12791482049516295	3336.35	7	1
Irf4	Tfg	0.12650318669407637	2370.2	2	1
Sox4	Slc38a1	0.1261666751221461	2621.85	3	1
Atf3	Plod3	0.12602537720939672	3328.3	6	-1
Dr1	Ube2v1	0.12543534449003818	3093.7	6	1
Fli1	Dazap2	0.12467263739890108	3563.95	8	1
Myb	Gja1	0.12436990251404426	3797.9	10	1
Mnt	Gja1	0.12155003431995799	2368.65	4	1
Klf4	Gsn	0.12124624748468463	2620.35	3	1
Arid3b	Spry1	0.12050259096397616	3082.65	5	-1
Foxp1	Spry1	0.12003172357804984	2617.4	4	1
Fli1	Dusp6	0.11991470952612235	2615.45	5	1
Mafg	Psph	0.11987970407679696	3082.1	5	1
Zfp35	Gja1	0.11960188301389732	2847.4	5	1
Cbx2	Sh2d3c	0.1193878995662809	2373.95	2	1
Hbp1	Dusp6	0.11916751421476808	3792.2	10	1
Myb	Armcx2	0.1189224593238893	3098.65	7	1
Zfp526	Armcx2	0.118920388506726	3091.1	6	1
Hmgb3	Ube2v1	0.11808370447579826	3094.85	6	1
Irf9	Psph	0.11794949310242835	2853.05	6	1
Atf2	Dhrs1	0.11648072831274155	2855.45	6	1
Ddit3	Golm1	0.11585839859189787	3551.4	9	1
Nfat5	Dusp6	0.11561177884250809	3544.95	9	1
Cic	Spry1	0.11557931167493654	2372.15	2	-1
Cic	Gja1	0.11448860643091563	3089.25	6	1
Crem	Emb	0.11430075229091022	2847.8	5	1
Creb3l2	Psph	0.11365180176610665	2612.6	3	1
Elf1	Plod3	0.11345410361381232	2371.6	2	-1
Arid5a	Emb	0.1129554240012973	2614.95	4	1
Zfp281	Dazap2	0.11205187828201657	2603.8	3	-1
Irf7	Plod3	0.11197408754362108	2854.05	5	1
Egr2	Dazap2	0.1115695133099857	2610.75	5	1
Fli1	Gja1	0.11148855406225637	2849.9	5	1
Zfp296	Tfg	0.11122513504544569	3548.85	9	1
Nfe2l2	Sh2d3c	0.10933684712039952	3079.85	7	1
Zbtb7b	Spry1	0.1082864483997282	3067.65	5	1
Zkscan1	Dusp6	0.10794621297945413	3058.85	6	1
Sox4	Sh2d3c	0.10788075041483788	2612.1	3	-1
Fosl1	Dhrs1	0.10748199975835666	3076.75	6	1
Bbx	Dusp6	0.10738619130005152	2613.6	4	1
Nr3c1	Riok3	0.1071863514196354	2368.5	2	-1
Arid2	Armcx2	0.10711196759284561	2839.5	6	1
Myc	Tfg	0.10688566590129955	3078.7	5	1
Eea1	Spry1	0.10657948108717541	2606.6	3	1
Tcf12	Sh2d3c	0.10638065566711327	3061.2	7	1
Ddit3	Papss1	0.10553759461549114	2369.25	2	-1
Zhx1	Dazap2	0.10544906859728335	2846.95	5	1
Hes6	Ube2v1	0.10519535776269433	3081.85	6	1
Bbx	Papss1	0.10508184766777917	3076.75	6	1
Mxi1	Plod3	0.1045800521979721	2609.55	4	1
Mafg	Papss1	0.10409425051598684	3780.3	10	1
Hif3a	Aldh3a2	0.10367052265891483	3075.3	7	1
Myc	Sh2d3c	0.10351753112229696	3546.55	8	1
Zbtb7a	Sh2d3c	0.10282215165093085	3069.15	7	1
Zfp64	Armcx2	0.10280817922230279	3315.4	8	1
Nr4a3	Spry1	0.10272254980417403	3545.85	8	1
Nfkb2	Emb	0.1021932581210169	2369.7	2	-1
Atf6	Tfg	0.10114553421651726	3072.3	5	1
Atf3	Aldh3a2	0.10087256311667296	3545.65	9	1
Nfic	Dazap2	0.10068688097261128	2365.3	2	1
Etv6	Riok3	0.10064823288007578	2840.15	4	1
Gata3	Dusp6	0.10030459547353532	3774.4	10	1
Egr2	Spry1	0.1001696012288914	2840.65	6	1
Bcl11b	Golm1	0.0999951006304089	3777.4	9	1
Rbpj	Armcx2	0.09968772371408399	3074.1	6	1
Eea1	Anapc1	0.0996557463603252	2359.8	2	1
Runx1	Golm1	0.09938816888622336	3311.55	7	1
Foxn2	Armcx2	0.09918608744118557	3064.1	7	1
Irf2	Ddr1	0.09863977476016969	2846.5	5	-1
Ahr	Gja1	0.09838410624516639	2607.5	5	1
Zbtb1	Dhrs1	0.09653282483423045	2840.45	4	1
Pbx2	Dhrs1	0.09603691969679122	3767.5	10	1
Cebpb	Psph	0.09595646498406848	2601.25	3	1
Nfe2l2	Emb	0.09462448028195582	2833.35	5	1
Rora	Golm1	0.09437732278641878	3541	9	1
Ikzf4	Golm1	0.0939415016149027	2365.1	3	1
Erf	Spry1	0.09388957585893645	2605.2	3	1
E2f1	Ube2v1	0.093339526221452	3069.7	6	1
Nfkb2	Anapc1	0.09333315925409688	2601.9	3	1
Zfp445	Ube2v1	0.09332257371923831	2365.05	2	-1
Ahctf1	Plod3	0.0930116088698201	2826.85	5	1
Cebpg	Emb	0.09284687868720595	3307.1	7	1
Nfat5	Armcx2	0.09282158124844006	2838.15	6	1
Ahctf1	Psph	0.09224221085209347	3071.45	7	1
Sp3	Tfg	0.0911602935300182	2598.65	3	1
Zfp202	Tfg	0.0908161831178739	2840.55	6	1
Nr3c1	Ube2v1	0.09051220187008241	2361.7	2	-1
Egr2	Tfg	0.090184466634042	2838.85	4	-1
Zkscan1	Sh2d3c	0.09014333480447793	2603.6	4	1
Tcf3	Slc38a1	0.09008187972195245	2362.3	2	-1
Nfatc1	Slc38a1	0.08985972891395358	2361.35	4	-1
Atf3	Dazap2	0.08982939085653037	3300.9	7	1
Hbp1	Gsn	0.08959338100676197	2836.4	4	1
Kdm5b	Spry1	0.08946584253167388	2840.45	5	1
Sp4	Spry1	0.0891825064609673	2604.8	3	1
Nfil3	Golm1	0.08910803771023955	2602.7	3	1
Mnt	Slc38a1	0.08909777104707287	2108.2	1	1
Mef2d	Slc38a1	0.08903077497547733	3072.15	6	1
Mnt	Dusp6	0.08803460079133796	2108.1	1	1
Stat5b	Riok3	0.0879280152909367	2361.05	2	1
Sp3	Emb	0.08783497396491115	2590.35	3	1
Elf1	Ube2v1	0.08744073879712125	2358.05	2	-1
Foxk2_Foxp1...	Papss1	0.08733332950223907	2834.8	5	1
Foxo3	Gsn	0.08732978457217816	2834	4	1
Lef1	Sh2d3c	0.08707908129780319	3302.65	8	1
Hmga1_Hmga1-rs1	Slc38a1	0.08620435735268252	2840.6	5	1
Klf3	Tfg	0.08602582580600956	3294.45	8	1
Irf9	Papss1	0.0859276509323402	2596.05	3	1
Rxrb	Emb	0.08569816738354283	2363.45	2	1
Myc	Slc38a1	0.0856223085018771	2356.8	2	1
Srf	Gsn	0.0855760502798831	3301	8	1
Cebpg	Golm1	0.08545711863686295	3296.3	7	1
Zfp568	Anapc1	0.08541116042496169	2361.8	2	1
Sp100	Armcx2	0.08510865657099956	2835.6	5	1
Myc	Dusp6	0.08478384149157958	2832.25	4	1
