TF	Gene	Variance_Explained	Rank	Count	Sign
Bbx	Dazap2	0.09032098289316692	3638.75	1	1
Elf1	Dusp6	0.08922644014171299	4847	2	1
Cic	Golm1	0.08505355151498889	3638.25	1	1
Ankzf1	Aldh3a2	0.08375845954702615	3640	1	1
Ets2	Aldh3a2	0.0775341541644593	3639	1	1
E2f1	Ube2v1	0.07684484608484515	3638.5	1	-1
Batf	Slc38a1	0.07582519971311802	3637.5	1	-1
Cdc5l	Dusp6	0.07183494336474333	3636.5	1	1
Zfp280c	Anapc1	0.06856014879552247	3636.75	1	1
Foxo1	Golm1	0.06418546979011625	3634.5	1	1
Atf2	Slc38a1	0.062107645333146166	3634.25	1	1
Sp4	Sh2d3c	0.059135285335591814	4844.5	2	0
Sp4	Aldh3a2	0.059104930026681934	3633.75	1	1
Stat4	Armcx2	0.05232441576995012	3633.25	1	-1
Batf	Ddr1	0.05203567897633893	3633.5	1	-1
Hes6	Psph	0.03544774704944803	3630.25	1	1
Atf3	Golm1	0.03404297966146058	3629.75	1	-1
Ahctf1	Tfg	0.03322527495672595	3632.5	1	1
Sp3	Aldh3a2	0.03309028588179436	3632	1	1
Zfp202	Spry1	0.032168599014506194	3631.5	1	1
Ahr	Dazap2	0.03210574276914829	3629.25	1	-1
Atf3	Plod3	0.0283317455689992	3628.75	1	-1
Maff	Gja1	0.025650140315124692	3628.25	1	1
Bbx	Aldh3a2	0.018268295704042814	3630.5	1	1
Stat1	Anapc1	0.017795840719748435	3630	1	-1
Atf5	Dazap2	0.017533317866958997	3629.5	1	1
Hsf1	Tfg	0.01550839640688928	4837.5	2	1
Bcl6	Golm1	0.014395337723205004	3626.75	1	-1
Klf4	Dhrs1	0.009244249551514427	3626.25	1	1
Bbx	Ube2v1	0.004761843829239165	3625.75	1	-1
Fosl1	Tfg	0.004108667016911427	3624.75	1	1
Rest	Ube2v1	0.003560149052161843	3628	1	1
Sp4	Papss1	0.0028967295672419624	3624.25	1	1
Klf2	Slc38a1	0.00037463016671973604	3623.25	1	1
Tcf3	Sh2d3c	57448586339881036e-21	3622.75	1	1
