TF	Gene	Variance_Explained	Rank	Count	Sign
Zfp688	Anapc1	0.07607284377315565	3607	1	-1
Klf3	Armcx2	0.07335384758631835	3605.5	1	-1
Nfkb1	Gja1	0.07264704602724187	3605	1	1
Zfp688	Armcx2	0.07147921959776671	4799	2	0
Fosb	Tfg	0.0713803205322815	3604.5	1	1
E4f1	Spry1	0.06898042556408057	4799.5	2	1
Cbx2	Ube2v1	0.06895474359976761	3609.5	1	1
Irf9	Psph	0.06894754152029542	3609	1	1
Fli1	Gsn	0.06696731501297298	3603	1	1
Sp4	Sh2d3c	0.06525689230116694	4789	2	1
Zbtb7a	Sh2d3c	0.06438903762195275	4798.5	2	1
Irf9	Ube2v1	0.06399753603736891	4790	2	-1
Zbtb1	Slc38a1	0.06393928380518576	3601	1	1
Rel	Tfg	0.06375212290422089	4798.5	2	1
Atf6	Slc38a1	0.0621470580673773	4796	2	1
Ets2	Ube2v1	0.06056967658917434	3605.5	1	1
Sp4	Golm1	0.060264379549623937	3605	1	1
Ahr	Sh2d3c	0.06011351811726384	3604.5	1	-1
Mxi1	Emb	0.0596178052122352	3597.5	1	1
Fli1	Dazap2	0.0579079771933137	3596.5	1	1
Bbx	Dhrs1	0.0574215855400359	3596	1	1
Irf9	Slc38a1	0.056941605536684925	4791.5	2	-1
Deaf1	Slc38a1	0.056302568573512346	3602.5	1	1
Batf	Armcx2	0.05485488165946906	3601	1	1
Snapc2	Tfg	0.054852813422882396	3594.5	1	1
Ets1	Slc38a1	0.05336407382819963	3593	1	1
Snapc2	Emb	0.053224823273425426	4791.5	2	1
Klf13	Papss1	0.05298962675907731	3600.5	1	1
Sp110	Tfg	0.05210720218219039	3592	1	1
Stat5b	Ddr1	0.051573424059791706	3591.5	1	1
Fosb	Dazap2	0.05050435166952122	3599.5	1	1
Fli1	Golm1	0.049893950714184065	3591	1	-1
Stat1	Plod3	0.04917893036752785	3599	1	1
Aebp2	Ddr1	0.048422626846597816	3590.5	1	1
Irf8	Riok3	0.04825268958371676	3590	1	1
Elf1	Anapc1	0.046307305022402045	4785.5	2	-1
Zfp202	Dazap2	0.04594127698803874	3597	1	1
Lyl1_Tal2	Gsn	0.045937092788844114	3596.5	1	1
Runx1	Gja1	0.04545913934512319	3595.5	1	1
Arid3a	Golm1	0.04477049756710916	3595	1	1
Nfat5	Ddr1	0.041832837234530906	3593.5	1	-1
Klf3	Riok3	0.04147060700482674	3587	1	1
Zkscan1	Dusp6	0.039211253681676606	4784.5	2	1
Atf5	Ube2v1	0.03915359241654859	3585.5	1	1
Gata3	Riok3	0.038445972647977666	3591.5	1	1
Stat5b	Gja1	0.03775941484437684	3591	1	1
Sp100	Golm1	0.03640059676211932	3590	1	1
Fosl1	Gja1	0.036248678682929025	3589.5	1	1
Zeb1	Aldh3a2	0.03606052585463665	3584	1	1
Arid5a	Armcx2	0.03538809214645572	3583	1	1
Stat3	Ddr1	0.03507016933138113	3582.5	1	1
Bbx	Ube2v1	0.03394780465058311	3587	1	1
Sp4	Ube2v1	0.03078047579931137	4778.5	2	1
Arid3b	Golm1	0.0301294780932157	3582	1	1
Drap1	Emb	0.028754474885121784	3585.5	1	1
Cux1	Papss1	0.02702170625167727	4777	2	1
Nfat5	Dusp6	0.026556738285043346	4777.5	2	1
Hmga1	Ube2v1	0.025736554167928916	4775.5	2	1
Ahr	Riok3	0.0244290390239828	3584.5	1	1
Batf	Ddr1	0.0209928169802463	3577.5	1	-1
Kdm2b	Dusp6	0.02045339787791356	3577	1	-1
Hif1a	Plod3	0.020160857046253977	3576	1	1
Nfat5	Spry1	0.019738047243170354	3575.5	1	1
Drap1	Dhrs1	0.018459440645416436	3581.5	1	1
Litaf	Armcx2	0.0180747824407132	3581	1	1
Arid3b	Emb	0.017701554613996306	4770.5	2	1
Zfp688	Dhrs1	0.01586936299202535	3579.5	1	1
Srf	Aldh3a2	0.015459498607396649	4766	2	1
Clock	Gja1	0.01530435326035895	3578.5	1	-1
Bhlhe40	Plod3	0.01470731536222969	3575	1	1
Srf	Emb	0.0136334605295102	3577	1	1
Rela	Tfg	0.012345324904404542	3576.5	1	1
Klf2	Slc38a1	0.012152971031828774	3576	1	1
Zfp202	Papss1	0.012135277765611407	3573.5	1	1
Sp3	Ube2v1	0.010830933366241358	3575.5	1	-1
Zeb1	Emb	0.01066336108466548	3572.5	1	1
Atf5	Sh2d3c	0.010399771981555228	3575	1	1
Ahr	Ddr1	0.01007555576587077	3572	1	1
Cebpb	Psph	0.008971398518171081	3574.5	1	1
Fos	Emb	0.008878796223962038	3574	1	-1
Relb	Aldh3a2	0.00830651183744685	3573.5	1	1
Bcl6	Aldh3a2	0.007929088811250096	3570.5	1	1
Batf	Gja1	0.00774655647160899	3570	1	1
Cic	Gja1	0.007547212930419045	3569.5	1	-1
Hif1a	Psph	0.007205150908751734	4759.5	2	1
Zfp280c	Anapc1	0.006176437609137386	3572	1	1
Fosl1	Dhrs1	0.00608378822141914	3568	1	1
Zbtb17	Dusp6	0.00498379360929907	3571	1	1
Tbx21	Dhrs1	0.004210047943950412	3565.5	1	1
Nr4a2	Armcx2	0.0038598396742319796	3565	1	1
Ets1	Gja1	0.0035743843472310077	3569.5	1	1
Foxo3	Aldh3a2	0.003386733427031663	3569	1	1
Cebpb	Aldh3a2	0.003212478462382984	3568.5	1	1
Klf7	Ube2v1	0.0031506937207052554	3564.5	1	-1
Zhx1	Dazap2	0.0025444243863145255	3567	1	-1
Pbx2	Dazap2	0.0024145831667065076	3566.5	1	-1
Klf3	Gja1	0.002153698870908216	3564	1	1
Bcl6	Gja1	0.00213399562721428	3565.5	1	1
Egr1	Psph	0.0021152569147980804	3563.5	1	1
Egr2	Golm1	0.002072415909285863	3565	1	-1
Relb	Spry1	0.0017426812020940874	3564	1	1
Rest	Papss1	0.0013979342308012566	3563	1	-1
Cggbp1	Armcx2	0.0002519068100635957	3562.5	1	1
Tef	Psph	5733321379081113e-20	3562	1	1
Bach1	Golm1	1543046969798567e-20	3561	1	1
Sp3	Papss1	13933492020168359e-22	3560.5	1	-1
Zfp52	Spry1	47378823680999105e-23	3560	1	1
